Question Number,Memory Type,Question,Ground Truth,AI Response,Accuracy Score,Is Correct,Response Length,Contains Error,Timestamp
1,Manual Entry,Who went camping?,Jake,"The knowledge graph doesn't specify exactly who went camping, but there is a mention of someone having a bear encounter while camping. If you have more details or context, I might be able to help further!",0.0,False,204,False,2025-08-13T16:58:13.966728
2,Manual Entry,What does Emma like to eat?,Burritos with hot sauce,"Emma enjoys churros, as noted in the knowledge graph. If you have any other questions about Emma's preferences or activities, feel free to ask!",0.0,False,143,False,2025-08-13T16:58:24.682503
3,Manual Entry,Which TV show did the group discuss?,Galactic Heist Chronicles,"The group discussed a TV show, though the specific show isn't named in the knowledge graph. If you have more details or context, feel free to share, and I might be able to help further!",0.0,False,185,False,2025-08-13T16:58:38.316854
4,Manual Entry,Who encountered a bear during a camping trip?,Jake,"Jake encountered a bear during a camping trip. If you have more questions about the camping trip or Jake's experiences, feel free to ask!",0.9,True,137,False,2025-08-13T16:58:56.064685
5,Manual Entry,What is Ryan’s opinion on country music?,He dislikes country music or anything twangy,"Ryan dislikes country music. The knowledge graph indicates that he has expressed a dislike for the genre in various ways. If you have any more questions about Ryan's musical preferences or anything else, feel free to ask!",0.8,True,221,False,2025-08-13T16:59:09.288243
6,Manual Entry,What dessert was Sarah tempted by during lunch?,Chocolate donut,"Sarah was tempted by dessert during lunch. The knowledge graph indicates that dessert is something she is often tempted by, but it doesn't specify a particular type of dessert for that specific lunch. If you have more questions about Sarah's dessert preferences, feel free to ask!",0.0,False,280,False,2025-08-13T16:59:23.502491
7,Manual Entry,Which musical genres does Chloe enjoy?,"""Indie and folk, and some pop""","Chloe has preferences for various musical genres, though the specific genres aren't detailed in the knowledge graph. If you have more specific questions about her musical tastes or any other topic, feel free to ask!",0.0,False,215,False,2025-08-13T16:59:37.684126
8,Manual Entry,Who was nervous about a presentation in London?,Chloe,"It seems that both Chloe and an Unknown Person were nervous about a presentation in London. If you have more questions about the presentation or anything else, feel free to ask!",0.9,True,177,False,2025-08-13T16:59:52.825966
9,Manual Entry,Who brought a guitar to the group picnic?,Jake,"Someone brought a guitar to the group picnic. The knowledge graph doesn't specify exactly who it was, but it does indicate that a guitar was present at the event. If you have more questions or need further details, feel free to ask!",0.0,False,232,False,2025-08-13T17:00:05.673598
10,Manual Entry,Why was Sarah hesitant about going to the amusement park?,She is terrified of heights,"Sarah was hesitant about going to the amusement park because she finds it difficult to be honest about her anxiety, which can be a factor in such situations. However, she also finds being honest about her anxiety rewarding, as it helps her manage her feelings better. If you have more questions about Sarah or the amusement park, feel free to ask!",0.2,False,347,False,2025-08-13T17:00:22.059994
11,Manual Entry,What food item did Emma claim she needs to wake up?,Spicy food / hot sauce,"Emma claimed she needs a food item to wake up, though the specific item isn't named in the knowledge graph. If you have more questions about Emma's preferences or activities, feel free to ask!",0.2,False,192,False,2025-08-13T17:00:36.982001
12,Manual Entry,Who advised Chloe to use humor in her presentation?,Ryan,"Chloe was advised to use humor in her presentation by both Ryan and Sarah. If you have more questions about Chloe's presentation or anything else, feel free to ask!",0.9,True,164,False,2025-08-13T17:00:54.497322
