Prompt,Memory Type,Ground Truth Answer
Who encountered a bear during a camping trip?,Factual Recall,Jake
What is Ryan’s opinion on country music?,Preference,He dislikes country music or anything twangy
What dessert was Sarah tempted by during lunch?,Preference,Chocolate donut
Which musical genres does Chloe enjoy?,Preference,"Indie and folk, and some pop"
Who was nervous about a presentation in London?,Factual Recall,Chloe
Who brought a guitar to the group picnic?,Factual Recall,Jake
Why was Sarah hesitant about going to the amusement park?,Emotional State,She is terrified of heights
What food item did Emma claim she needs to wake up?,Preference,Spicy food / hot sauce
Who advised Chloe to use humor in her presentation?,Relationship,Ryan
Who helped cheer up Ryan after a stressful day at work?,Relationship,"Emma, Jake, and Sarah"
What kind of vacation did Ryan suggest for Emma?,Preference,A relaxing beach vacation
Who offered to bring dessert to the picnic?,Factual Recall,Sarah
What role did Ryan play in helping Chloe calm her nerves?,Relationship,He suggested opening with a joke to ease the tension
Which song did Emma have on repeat?,Preference,Midnight Reverie by The Moonlighters
What did Chloe plan to buy as gifts for her friends in London?,Factual Recall,Keychains and English tea
Which TV show did the group discuss and avoid spoiling?,Factual Recall,Galactic Heist Chronicles
Who fell asleep while watching 'The Galactic Heist'?,Factual Recall,Sarah
Who likes jazz music occasionally?,Preference,Sarah
Which activity did Sarah suggest instead of the roller coaster?,Preference,Picnic and gentle hiking
Which park did the group decide to visit for the picnic?,Factual Recall,Riverside Park
What did Jake say about his ears after the Metallica concert?,Factual Recall,His ears rang for two days
What’s Chloe’s opinion about the weather in London?,Emotional State,A bit dreary
What food did Chloe enjoy in London?,Factual Recall,Fish and chips
Who missed the picnic due to traveling?,Factual Recall,Chloe
Who made a joke about being cheered on by their showerhead?,Factual Recall,Jake
Which activity did the group plan for Friday night?,Factual Recall,Karaoke
Who suggested Riverside Park for the picnic?,Factual Recall,Chloe
Who said they might do sightseeing to distract themselves from work?,Emotional State,Chloe
Who described their playlist as chaotic?,Preference,Emma
Who said variety is the spice of life?,Factual Recall,Sarah
Who planned to watch the Galactic Heist episode after dinner?,Factual Recall,Sarah
Who comforted Chloe by saying she’s the expert on stage?,Relationship,Emma
Who expressed missing Chloe and her laugh?,Emotional State,Sarah
Who offered to bring snacks to the picnic?,Factual Recall,Ryan
Who joked about carrying a red telephone booth in their bag?,Factual Recall,Chloe
Who reassured Chloe after her presentation by calling her a rockstar?,Relationship,Jake
Who made fun of Jake’s singing by mentioning wildlife?,Relationship,Emma and Sarah
Who sent memes to cheer Ryan up?,Relationship,Emma and Sarah
Who felt relieved after using a joke during a talk?,Emotional State,Chloe
Who called Chloe’s city visit touristy?,Factual Recall,Chloe herself
What did Emma say she became one with during the weekend?,Factual Recall,Her couch
Who offered to save cookies for Chloe?,Relationship,Sarah
Who suggested everyone meet at SingStar Karaoke?,Factual Recall,Emma
Who said their salad was to offset weekend junk food?,Factual Recall,Ryan
Who confessed to craving sweets because of Sarah?,Emotional State,Ryan
Who declared spicy food wakes them up?,Preference,Emma
What did Jake say about the night sky at Yosemite?,Factual Recall,The stars were unreal
Who suggested a joke to help Chloe during her talk?,Relationship,Ryan
Who mentioned their conference trip was in London?,Factual Recall,Chloe
Who plans to catch up on the Galactic Heist episodes over the weekend?,Factual Recall,Emma
