Question Number,Memory Type,Question,Ground Truth,AI Response,Response Length,Contains Error,Timestamp
1,Manual Entry,Who went camping?,Jake,"According to the knowledge graph, Jake went camping. He mentioned going to the desert, seeing the Milky Way, and spotting a scorpion.",133,False,2025-08-13T01:22:47.587623
2,Manual Entry,What does Emma like to eat?,Burritos with hot sauce,"Emma is living a ""foodie dream,"" which suggests she enjoys exploring various foods. She also mentioned making a spicy Thai green curry, indicating a taste for flavorful and spicy dishes.",186,False,2025-08-13T01:23:00.367085
3,Manual Entry,Which TV show did the group discuss?,Galactic Heist Chronicles,"According to the knowledge graph, Emma inquired about a TV show discussion, but the specific TV show that the group discussed isn't directly mentioned in the graph. However, Sarah is a frequent viewer of the show ""Friends,"" which might have been part of the discussion.",269,False,2025-08-13T01:23:13.355147
4,Manual Entry,Who encountered a bear during a camping trip?,Jake,"According to the knowledge graph, Jake encountered a bear during a camping trip. He experienced a bear scare and plans to bring bear bells to avoid future encounters.",166,False,2025-08-13T01:23:25.284231
5,Manual Entry,What is Ryan’s opinion on country music?,He dislikes country music or anything twangy,"According to the knowledge graph, Ryan dislikes country music. He has expressed a dislike for the genre and country songs specifically.",135,False,2025-08-13T01:23:40.951252
6,Manual Entry,What dessert was Sarah tempted by during lunch?,Chocolate donut,"According to the knowledge graph, Sarah is generally tempted by dessert. While it doesn't specify a particular dessert she was tempted by during lunch, it does highlight her inclination towards desserts in general.",214,False,2025-08-13T01:24:08.326663
7,Manual Entry,Which musical genres does Chloe enjoy?,"""Indie and folk, and some pop""","According to the knowledge graph, Chloe has preferences for various musical genres, but it doesn't specify which particular genres she enjoys. If you want more details, you might consider asking Chloe directly about her favorite genres!",236,False,2025-08-13T01:24:21.000399
8,Manual Entry,Who was nervous about a presentation in London?,Chloe,"According to the knowledge graph, Chloe was nervous about a presentation. However, the specific location of the presentation in London isn't directly mentioned in the graph.",173,False,2025-08-13T01:24:41.877792
9,Manual Entry,Who brought a guitar to the group picnic?,Jake,"According to the knowledge graph, Jake is the one who brings a guitar for music. So, it's likely that Jake brought a guitar to the group picnic.",144,False,2025-08-13T01:25:09.018663
10,Manual Entry,Why was Sarah hesitant about going to the amusement park?,She is terrified of heights,"According to the knowledge graph, Sarah was hesitant about going to the amusement park. This hesitation might be related to the new giant roller coaster featured there, which could be a factor in her reluctance.",211,False,2025-08-13T01:25:19.757587
11,Manual Entry,What food item did Emma claim she needs to wake up?,Spicy food / hot sauce,"According to the knowledge graph, Emma claimed she needed a food item to wake up, but the specific food item isn't mentioned. However, given her ""foodie dream"" lifestyle, it might be something flavorful or caffeinated.",218,False,2025-08-13T01:25:42.445863
12,Manual Entry,Who advised Chloe to use humor in her presentation?,Ryan,"According to the knowledge graph, Sarah advised Chloe to use humor in her presentation.",87,False,2025-08-13T01:26:09.789368
13,Manual Entry,Who helped cheer up Ryan after a stressful day at work?,"""Emma, Jake, and Sarah""","According to the knowledge graph, Emma inquired about cheering up Ryan, which suggests she was involved in supporting him after a stressful day at work.",152,False,2025-08-13T01:26:39.808276
14,Manual Entry,What kind of vacation did Ryan suggest for Emma?,A relaxing beach vacation,"According to the knowledge graph, Ryan made a vacation suggestion for Emma, but the specific details of the vacation suggestion aren't explicitly mentioned in the graph. If you need more information, you might want to check with Ryan directly for the details of his suggestion.",277,False,2025-08-13T01:27:03.949148
15,Manual Entry,Who offered to bring dessert to the picnic?,Sarah,"According to the knowledge graph, Sarah was assigned the role of bringing dessert to the picnic.",96,False,2025-08-13T01:27:31.263358
16,Manual Entry,What role did Ryan play in helping Chloe calm her nerves?,He suggested opening with a joke to ease the tension,"According to the knowledge graph, Ryan advised Chloe to use humor in her presentation, which likely helped her calm her nerves.",127,False,2025-08-13T01:27:59.383619
17,Manual Entry,Which song did Emma have on repeat?,Midnight Reverie by The Moonlighters,"According to the knowledge graph, Emma had ""Midnight Reverie"" on repeat. She seems to enjoy that song quite a bit!",114,False,2025-08-13T01:28:09.549066
18,Manual Entry,What did Chloe plan to buy as gifts for her friends in London?,Keychains and English tea,"According to the knowledge graph, Chloe planned to buy gifts for her friends in London.",87,False,2025-08-13T01:28:33.521897
19,Manual Entry,Which TV show did the group discuss and avoid spoiling?,Galactic Heist Chronicles,"According to the knowledge graph, Emma inquired about a TV show discussion. However, the specific TV show that the group discussed and avoided spoiling isn't explicitly mentioned in the graph. If you need more details, you might want to check with the group directly for the specific TV show they were discussing.",313,False,2025-08-13T01:28:43.890737
20,Manual Entry,Who fell asleep while watching 'The Galactic Heist'?,Sarah,"According to the knowledge graph, Sarah is noted for falling asleep during activities, which suggests she might have been the one who fell asleep while watching 'The Galactic Heist'.",182,False,2025-08-13T01:29:07.288396
21,Manual Entry,Who likes jazz music occasionally?,Sarah,"According to the knowledge graph, Emma likes jazz music occasionally.",69,False,2025-08-13T01:29:34.694596
22,Manual Entry,Which activity did Sarah suggest instead of the roller coaster?,Picnic and gentle hiking,"According to the knowledge graph, Sarah suggested an alternative to the roller coaster, but the specific activity she suggested isn't explicitly mentioned in the graph. If you need more details, you might want to check with Sarah directly for the specific activity she had in mind.",281,False,2025-08-13T01:29:46.890200
23,Manual Entry,Which park did the group decide to visit for the picnic?,Riverside Park,"According to the knowledge graph, the group decided to visit the park for the picnic.",85,False,2025-08-13T01:30:00.235481
24,Manual Entry,What did Jake say about his ears after the Metallica concert?,His ears rang for two days,"According to the knowledge graph, Jake was concerned about his ears after the Metallica concert because they rang for two days.",127,False,2025-08-13T01:30:15.966607
25,Manual Entry,What’s Chloe’s opinion about the weather in London?,A bit dreary,"According to the knowledge graph, Chloe finds the weather in London dreary.",75,False,2025-08-13T01:30:42.192330
26,Manual Entry,What food did Chloe enjoy in London?,Fish and chips,"According to the knowledge graph, Chloe enjoyed scones in London.",65,False,2025-08-13T01:31:09.046272
27,Manual Entry,Who missed the picnic due to traveling?,Chloe,"According to the knowledge graph, Chloe missed the picnic due to traveling.",75,False,2025-08-13T01:31:37.914254
28,Manual Entry,Who made a joke about being cheered on by their showerhead?,Jake,"According to the knowledge graph, an unknown person made a joke about being cheered on by their showerhead.",107,False,2025-08-13T01:32:03.650698
29,Manual Entry,Which activity did the group plan for Friday night?,Karaoke,"According to the knowledge graph, the specific activity the group planned for Friday night isn't explicitly mentioned. You might want to check with the group directly to find out what they have planned.",202,False,2025-08-13T01:32:16.830692
30,Manual Entry,Who suggested Riverside Park for the picnic?,Chloe,"According to the knowledge graph, Sarah suggested Riverside Park for the picnic.",80,False,2025-08-13T01:32:30.630587
31,Manual Entry,Who said they might do sightseeing to distract themselves from work?,Chloe,"According to the knowledge graph, an unknown person considered sightseeing as a distraction.",92,False,2025-08-13T01:32:45.170345
32,Manual Entry,Who described their playlist as chaotic?,Emma,"According to the knowledge graph, an unknown person described their playlist as chaotic.",88,False,2025-08-13T01:34:01.208160
33,Manual Entry,Who said variety is the spice of life?,Sarah,"According to the knowledge graph, Jake is the one who said, ""variety is the spice of life.""",91,False,2025-08-13T01:34:28.453557
34,Manual Entry,Who planned to watch the Galactic Heist episode after dinner?,Sarah,"According to the knowledge graph, both Emma and Sarah planned to watch the Galactic Heist episode after dinner.",111,False,2025-08-13T01:34:57.445623
35,Manual Entry,Who comforted Chloe by saying she’s the expert on stage?,Emma,"According to the knowledge graph, Emma expressed support and encouragement, which suggests she might have been the one who comforted Chloe by saying she’s the expert on stage.",175,False,2025-08-13T01:35:22.523650
36,Manual Entry,Who expressed missing Chloe and her laugh?,Sarah,"According to the knowledge graph, Ryan expressed missing Chloe and her laugh.",77,False,2025-08-13T01:35:35.584945
37,Manual Entry,Who offered to bring snacks to the picnic?,Ryan,"According to the knowledge graph, Chloe and Ryan both planned to bring snacks to the picnic.",92,False,2025-08-13T01:35:53.720380
38,Manual Entry,Who joked about carrying a red telephone booth in their bag?,Chloe,"According to the knowledge graph, an unknown person joked about carrying a red telephone booth in their bag.",108,False,2025-08-13T01:37:11.478345
39,Manual Entry,Who reassured Chloe after her presentation by calling her a rockstar?,Jake,"According to the knowledge graph, Emma congratulated Chloe, which suggests she might have been the one who reassured Chloe after her presentation by calling her a rockstar.",172,False,2025-08-13T01:37:38.978920
40,Manual Entry,Who made fun of Jake’s singing by mentioning wildlife?,Emma and Sarah,"According to the knowledge graph, an unknown person made fun of Jake’s singing by mentioning wildlife.",102,False,2025-08-13T01:37:53.999357
41,Manual Entry,Who sent memes to cheer Ryan up?,Emma and Sarah,"According to the knowledge graph, Emma planned to send memes to Ryan to cheer him up.",85,False,2025-08-13T01:39:27.059281
42,Manual Entry,Who felt relieved after using a joke during a talk?,Chloe,"According to the knowledge graph, someone experienced relief after using a joke during a talk. The specific individual isn't directly mentioned, but Emma inquired about the effect of a joke during a talk, which suggests she might have felt relieved after using a joke.",268,False,2025-08-13T01:39:54.285138
43,Manual Entry,Who called Chloe’s city visit touristy?,Chloe herself,"According to the knowledge graph, Chloe's city visit was described as touristy by an unknown person.",100,False,2025-08-13T01:40:08.603990
